onset	duration	trial_type	modulation
7.1	1.5	task	2.906
16.2	1.5	task	3.276
23.7	1.5	task	2.023
32.1	1.5	task	2.206
41.0	1.5	task	2.560
53.2	1.5	task	1.679
63.9	1.5	task	1.159
73.5	1.5	task	2.749
84.8	1.5	task	1.328
97.1	1.5	task	3.380
105.2	1.5	task	3.358
112.9	1.5	task	0.656
124.3	1.5	task	2.626
136.4	1.5	task	2.334
144.6	1.5	task	3.181
157.4	1.5	task	3.224
167.3	1.5	task	3.277
174.5	1.5	task	2.802
185.8	1.5	task	2.595
196.9	1.5	task	2.041
208.4	1.5	task	2.401
216.6	1.5	task	0.643
227.9	1.5	task	1.294
239.4	1.5	task	1.797
248.1	1.5	task	3.097
257.5	1.5	task	1.379
265.9	1.5	task	1.755
278.8	1.5	task	3.230
285.9	1.5	task	0.517
