onset	duration	trial_type
5.4	1.5	task
15.1	1.5	task
27.0	1.5	task
38.1	1.5	task
46.9	1.5	task
56.5	1.5	task
66.9	1.5	task
78.9	1.5	task
87.2	1.5	task
99.7	1.5	task
108.6	1.5	task
120.3	1.5	task
130.4	1.5	task
139.5	1.5	task
149.8	1.5	task
159.7	1.5	task
167.6	1.5	task
177.3	1.5	task
189.9	1.5	task
200.8	1.5	task
208.5	1.5	task
219.7	1.5	task
230.9	1.5	task
240.9	1.5	task
248.1	1.5	task
258.4	1.5	task
267.1	1.5	task
277.4	1.5	task
286.7	1.5	task
296.1	1.5	task
308.7	1.5	task
321.4	1.5	task
329.4	1.5	task
337.9	1.5	task
