onset	duration	trial_type
7.4	1.5	task
16.7	1.5	task
29.7	1.5	task
38.6	1.5	task
50.9	1.5	task
58.5	1.5	task
70.6	1.5	task
82.8	1.5	task
93.6	1.5	task
105.8	1.5	task
117.5	1.5	task
130.2	1.5	task
142.6	1.5	task
150.1	1.5	task
162.1	1.5	task
172.8	1.5	task
184.7	1.5	task
195.1	1.5	task
204.6	1.5	task
212.6	1.5	task
223.1	1.5	task
233.7	1.5	task
242.3	1.5	task
251.0	1.5	task
260.6	1.5	task
272.0	1.5	task
284.5	1.5	task
294.2	1.5	task
305.3	1.5	task
315.3	1.5	task
326.4	1.5	task
338.6	1.5	task
347.6	1.5	task
