onset	duration	trial_type	modulation
5.1	1.5	task	1.400
15.1	1.5	task	3.376
27.4	1.5	task	2.807
37.9	1.5	task	2.802
49.8	1.5	task	1.177
59.7	1.5	task	0.684
71.8	1.5	task	1.429
80.5	1.5	task	2.273
91.5	1.5	task	1.177
104.5	1.5	task	2.177
114.4	1.5	task	1.323
124.9	1.5	task	2.370
135.5	1.5	task	2.626
145.7	1.5	task	3.430
153.1	1.5	task	1.168
162.1	1.5	task	1.638
169.1	1.5	task	1.151
180.5	1.5	task	3.009
188.2	1.5	task	3.468
198.4	1.5	task	3.282
207.4	1.5	task	1.064
214.8	1.5	task	1.602
224.5	1.5	task	1.490
234.4	1.5	task	2.823
244.6	1.5	task	2.203
254.4	1.5	task	3.196
267.0	1.5	task	2.832
274.8	1.5	task	1.737
282.9	1.5	task	2.964
290.2	1.5	task	2.804
300.9	1.5	task	3.023
308.7	1.5	task	1.767
320.6	1.5	task	0.971
331.9	1.5	task	2.763
344.3	1.5	task	1.738
356.7	1.5	task	3.150
367.8	1.5	task	2.093
376.7	1.5	task	3.034
386.4	1.5	task	3.244
397.4	1.5	task	1.830
404.9	1.5	task	3.414
413.6	1.5	task	2.493
421.9	1.5	task	1.449
434.6	1.5	task	2.253
