onset	duration	trial_type
6.1	1.5	task
18.0	1.5	task
28.7	1.5	task
37.0	1.5	task
44.1	1.5	task
52.3	1.5	task
59.7	1.5	task
68.3	1.5	task
81.1	1.5	task
92.7	1.5	task
102.3	1.5	task
109.6	1.5	task
117.3	1.5	task
125.5	1.5	task
133.7	1.5	task
142.0	1.5	task
152.2	1.5	task
160.3	1.5	task
170.6	1.5	task
178.6	1.5	task
188.5	1.5	task
199.0	1.5	task
210.0	1.5	task
221.4	1.5	task
230.9	1.5	task
242.9	1.5	task
252.5	1.5	task
263.6	1.5	task
273.5	1.5	task
285.0	1.5	task
293.8	1.5	task
306.7	1.5	task
316.8	1.5	task
326.3	1.5	task
339.3	1.5	task
350.1	1.5	task
360.8	1.5	task
